"name","summarySnippet"
"浙江省宁波市海曙区白云街道安丰社区","王马社区成立于2001年，地处杭州市中心，占地面积0.34平方公里，住户5934户，常住人口近1.6"
"浙江省宁波市海曙区西门街道北郊社区","华兴社区地处浙江省宁波市城区西南端，东起环城西路南段，西接丽园南路，南至启文河，北抵气象路，占地面积"
"浙江省宁波市海曙区月湖街道迎凤社区","南都社区位于海曙区南侧，现有南都绿洲、茶花园、月季园、桂花园、玉兰园、紫园六个小区组成，共有居民22"
"浙江省宁波市余姚市凤山街道季卫桥社区","天一商圈综合党委成立于2008年，系宁波市首个区域性综合党委，目前下辖54家两新党组织、442名党员"
"浙江省宁波市余姚市阳明街道新城市社区","王马社区成立于2001年，地处杭州市中心，占地面积0.34平方公里，住户5934户，常住人口近1.6"
"浙江省舟山市嵊泗县东海社区","王马社区成立于2001年，地处杭州市中心，占地面积0.34平方公里，住户5934户，常住人口近1.6"
"浙江省衢州市法律援助中心","杭州市上城区凯旋街道南肖埠社区以其卓越的基层群众性自治实践，荣获“全国先进基层群众性自治组织”称号。"
"浙江省杭州市上城区小营街道小营巷社区","该社区是浙江第一个地方党组织的诞生地，是毛主席视察过的第一个居委会，镌刻着党和国家领导人的为民情怀。"
"浙江省湖州吴兴区平安大姐社会工作室","“平安大姐”是“中国童装之都”——吴兴区织里镇的一群女性志愿者。她们来自17个省24个地区，不仅无偿"
"浙江省丽水市遂昌县求和人民调解委员会 “平安遂昌花” 娟姐工作室","2009年，遂昌县（求和）人民调解委员会正式创立，2020年完成社会团体改制。“平安丽姐”娟姐工作室"
"浙江省丽水市云和县老李帮忙团服务中心党支部","云和县“老李帮忙团”成立于2010年7月，老李帮忙团成立以来，始终坚持弘扬奉献、友爱、互助、进步的志"
"江西省吉安市青原区值夏镇值夏社区人民调解委员会白保忠调解工作室","华兴社区地处浙江省宁波市城区西南端，东起环城西路南段，西接丽园南路，南至启文河，北抵气象路，占地面积"
"湖北省荆州市沙市区朝阳街道朝阳街办肉联路社区","肉联路社区坐落于肉联路24号，辖区面积0.6平方公里，居民5130余户共12200余人，辖区人口呈现"
"湖北省荆州市沙市区解放街道九曲桥社区","诸暨市浣东街道东盛社区居民委员会于2022年获评全国先进基层群众性自治组织。社区坚持和发展新时代“枫"
"湖北省武汉市洪山区卓刀泉街鲁广社区","鲁广社区组建于2000年10月，位于洪山区虎泉街414号，辖区面积0.19平方公里，管辖7个小区，服"
"湖北省咸宁市咸安区司法局向阳湖司法所","2021年以来，咸安区向阳湖司法所积极探索“‘合议共管’预防化解村组合同纠纷工作法”：对于已产生的合"
"湖北省恩施州咸丰县联合人民调解委员会苏老武调解工作室","咸丰县“苏老武”调解工作室成立于2021年9月，由县楚蜀法律服务所主任苏林武牵头组建。工作室现有专职"
"广东省深圳市福田区福田街道福民社区","台州市临海市古城街道鹿城社区13年来坚持大党建格局、大融合理念，构建“社区党组织+社会组织+志愿者”"
"广东省中山市东区街道起湾社区","南都社区位于海曙区南侧，现有南都绿洲、茶花园、月季园、桂花园、玉兰园、紫园六个小区组成，共有居民22"
"广东省中山市石岐街道东明社区","西湖区翠苑街道翠苑一区社区是习近平总书记在浙江工作期间的基层联系点，总书记曾3次调研、2次复信，提出"
"广东省中山市石岐街道桂园社区","嘉兴市秀洲区孝慈社会工作服务中心是一家5A级社会组织，先后获评全国先进社会组织、全国社会工作服务示范"
"广东省阳江市江城区城北街道党工委","阳江市江城区城北街道总面积23.64平方公里，户籍人口约5.6万人，常住人口约16.9万人，下辖5个"
"广西壮族自治区桂林市象山区平山街道凯风社区","2009年，遂昌县（求和）人民调解委员会正式创立，2020年完成社会团体改制。“平安丽姐”娟姐工作室"
"广西壮族自治区桂林市叠彩区叠彩街道清秀社区","安康社区是安徽省淮北市老城区中心社区，辖区面积0.22平方公里，人口8031人。社区现有工作人员23"
"广西壮族自治区桂林市灵川县灵川镇城西社区","富文社区常住人口3218户8463人，总面积约1.6万平方公里，共有住宅楼88幢。富文社区人民调解委"
"天津市滨海新区塘沽街道办事处","塘沽街道地处天津市滨海新区核心区，是商贸、科研、金融服务的聚集区，有回族、维吾尔族等13个少数民族，"
"天津市河北区建昌街道三和社区","禾山社区隶属于厦门市湖里区禾山街道，下辖11个城市小区，常住人口约2.4万人。社区2013年成立党支"
"四川省泸州市叙永县人民法院摩尼人民法庭","叙永县人民法院立足叙永县民族散杂居县情，设立摩尼人民法庭为“民族团结法庭”。摩尼法庭深入贯彻习近平总"
"云南省普洱市南屏镇思茅区倒生根社区","普洱市思茅区南屏镇倒生根社区成立于2002年，辖区面积6.5平方公里，24个居民小组，常住居民865"
"河北省衡水市桃城区河东街道桥东社区","芸溪社区成立于2008年，地处厦门市同安区中心城区，辖区面积约0.7平方公里，共9个居住小区，居民1"
"新疆维吾尔自治区吐鲁番市托克逊县托克逊真玉泉社区","吐鲁番市托克逊县托克逊镇玉泉社区位于托克逊县城核心区域，辖区面积0.4平方公里，辖11个小区、6个网"
"山西省吕梁市孝义市中阳楼街道西关社区","值夏社区位于江西省吉安市青原区值夏镇圩镇中心，成立于1958年，为全区历史最悠久的居委会。现有常住居"
"江苏省镇江市京口区正东路街道京口区路社区","京口路社区位于江苏省镇江市京口区正东路街道，面积约0.59平方公里，现有居民3525户6690人、党"
