province,trueName
"江苏省","江苏省常州市天宁区雕庄中海荣盛工作站站长－汤亚平－全国最美城乡社区工作者"
"江苏省","江苏省常州市钟楼区永红街道荆川里社区党委书记、居委会主任－裴美凤－全国优秀城乡社区工作者"
"江苏省","江苏省淮安市清江浦区淮海街道健康路社区党委书记、居委会主任－夏梦－全国优秀城乡社区工作者"
"江苏省","江苏省连云港市海州区新浦街道海连社区党委书记、居委会主任－李肖娜－全国人大代表"
"江苏省","江苏省宿迁市泗阳县众兴街道红光社区党委书记、居委会主任－李飞－全国优秀城乡社区工作者"
"江苏省","江苏省泰州市海陵区城东街道东城社区党总支书记、居委会主任－段金梅－全国优秀城乡社区工作者"
"江苏省","江苏省泰州市姜堰区罗塘街道中天社区党委书记、居委会主任－黄晓慧－全国优秀城乡社区工作者"
"江苏省","江苏省徐州市鼓楼区鼓楼花园社区党委书记、居委会主任－骆婷－全国优秀共产党员、全国抗击新冠肺炎疫情先进个人、全国三八红旗手、党的二十大代表"
"江苏省","江苏省盐城市盐都区潘黄街道宝才社区党总支书记、居委会主任－陆众山－全国优秀城乡社区工作者"
"浙江省","浙江省湖州市吴兴区爱山街道红丰西塘社区党委书记、居委会主任－崔庆峰－全国优秀城乡社区工作者"
"浙江省","浙江省湖州市吴兴区龙泉街道白鱼潭社区党委书记、居委会主任－谈国琴－全国先进工作者、全国三八红旗手"
"浙江省","浙江省金华市婺城区苏孟乡和悦社区党委书记、居委会主任－汪燕飞－全国优秀城乡社区工作者"
"浙江省","浙江省宁波市北仑区大碶街道灵峰工业社区党委书记－史孟艳－党的二十大代表"
"浙江省","浙江省宁波市北仑区红领之家社会服务中心党总支书记、主任－陈军浩－全国优秀党务工作者"
"浙江省","浙江省宁波市北仑区新碶街道大港工业社区党委书记－陈雪波－全国优秀城乡社区工作者"
"浙江省","浙江省宁波市劳模工匠协会副会长、宁波市农产品经纪人协会会长－裘银芳－全国劳动模范"
"浙江省","浙江省绍兴市柯桥区柯桥街道大渡社区党总支书记、居委会主任－张晓鸿－全国优秀共产党员、全国抗击新冠肺炎疫情先进个人"
"浙江省","浙江省绍兴市柯桥区柯桥街道立新社区党委书记、居委会主任－莫慧英－全国优秀城乡社区工作者"
"浙江省","浙江省曹操出行平台担任网约车司机车队长－原永辉－全国劳动模范"
"浙江省","浙江省绍兴市越城区府山街道越都社区党委书记、居委会主任－诸妙茵－全国优秀城乡社区工作者"
"浙江省","浙江省台州市天台县新乡贤和合调解团团长、天台县人民调解协会副会长－施仁利－全国模范人民调解员"
"浙江省","浙江省台州市温岭市石塘海上平安民间救助站站长－郭文标－全国劳动模范"
"浙江省","浙江省台州市仙居县留守儿童之家“东篱之家”负责人－王雪娟－全国三八红旗手"
"浙江省","浙江省温州市乐清市仁和社会工作师事务所理事长，乐清市社会工作者协会副会长，乐清市平安建设促进会柳市分会副会长－黄首东－全国专业社会工作领军人才"
"浙江省","浙江省温州市鹿城区松台街道桂柑社区原党委书记、居委会主任－柯建华－全国人大代表、全国三八红旗手"
"浙江省","浙江省温州市鹿城区松台街道郭公山社区党委书记、居委会主任－周雪飞－全国优秀城乡社区工作者"
"浙江省","浙江省温州市瑞安市安阳街道育才社区党总支书记、居委会主任－李群微－全国优秀城乡社区工作者"
"浙江省","浙江省舟山市定海区干览镇新建村党总支书记、主任－余金红－全国优秀党务工作者、全国三八红旗手标兵"
"浙江省","浙江省杭州市拱墅区东新街道东新园社区党委书记、居委会主任－费建军－全国优秀城乡社区工作者"
"浙江省","浙江省杭州市拱墅区天水街道灯芯巷社区原党委书记－朱雅仙－全国优秀党务工作者、全国三八红旗手"
"浙江省","浙江省杭州市上城区小营街道小营巷社区党委书记、居委会主任－曹琛－全国人大代"
"浙江省","浙江省杭州市西湖区翠苑街道翠苑一区社区原党委书记－张爱民－党的十九大代表"
"浙江省","浙江省杭州市西湖区文新街道骆家庄社区党委书记、居委会主任－章忠萍－全国优秀城乡社区工作者"
"浙江省","浙江省杭州市志愿者协会综合队九分队队长－顾雅娟－全国优秀志愿者、浙江省优秀志愿服务工作者、浙江好人"
"浙江省","浙江省湖州市安吉县人民调解委员会主任－王正平－全国模范人民调解员"
"浙江省","浙江省湖州市德清县“德清嫂”调解品牌工作室负责人－姚惠文－全国三八红旗手、全国模范人民调解员"
"安徽省","安徽省阜阳市颍州区西湖镇党委副书记、白行社区党委书记－闫永志－全国优秀党务工作者、全国人大代表"
"安徽省","安徽省马鞍山市花山区金家庄街道新风社区党委书记－邢春桂－全国人大代表、党的十八大代表"
"安徽省","安徽省铜陵市枞阳县枞阳镇新华社区党委书记－张仕仪－全国优秀党务工作者"
"福建省","福建省福州市鼓楼区军门社区党委书记－林丹－七一勋章、党的二十大代表、全国优秀共产党员、全国劳动模范、全国优秀城乡社区工作者"
"福建省","福建省平潭综合实验区潭城镇东门社区党支部书记－薛玉凤－全国人大代表"
"福建省","福建省南平市邵武市昭阳街道载云桥社区党委书记、居委会主任－张莲英－全国优秀城乡社区工作者"
"福建省","福建省南平市延平区四鹤街道党工委书记、一级主任科员－段闽杰－全国优秀党务工作者"
"福建省","福建省厦门市湖里区金山街道金安社区党委书记－吴丽敏－全国优秀党务工作者"
"福建省","福建省永安市燕南街道巴溪湾社区党委书记、居委会主任－叶薇－全国优秀城乡社区工作者"
"江西省","江西省宜春市樟树市福城街道福城社区党支部书记、居委会主任－朱林－全国优秀城乡社区工作者"
"江西省","江西省抚州市临川区西大街街道西大街社区党委书记、居委会主任－吴乐怡－全国优秀城乡社区工作者"
"江西省","江西省赣州市章贡区东外街道东外社区党委书记、居委会主任－崔建华－全国优秀城乡社区工作者"
"江西省","江西省贵溪市花园街道贵化社区党委书记、居委会主任－尹利－全国优秀城乡社区工作者"
"江西省","江西省吉安市青原区值夏镇值夏社区党支部书记、居委会主任－白保忠－全国优秀城乡社区工作者"
"江西省","江西省九江市濂溪区赛阳镇赛阳社区党支部书记、居委会主任－刘慧萍－全国优秀城乡社区工作者"
"江西省","江西省南昌市东湖区董家窑街道杏苑社区党委书记、居委会主任－周莉芳－全国优秀城乡社区工作者"
"江西省","江西省南昌市南昌县莲塘街道莲安南路社区党委书记、居委会主任－钟松梅－全国劳动模范"
"江西省","江西省妇联第十三届执行委员会兼职副主席－甘公荣－全国劳动模范、全国三八红旗手、全国道德模范"
"江西省","江西省新余市渝水区仙来街道龙州社区党支部书记、居委会主任－简小红－全国优秀城乡社区工作者"
"山东省","山东省济南市天桥区工人新村南村街道西区社区党委书记－田象霞－全国优秀共产党员"
"山东省","山东省东营市胜利街道胜宏社区党委书记、居委会主任－梅玉莲－全国优秀城乡社区工作者"
"山东省","山东省烟台市龙口市东江街道锦里社区党总支书记－邢燕－全国优秀城乡社区工作者"
"山东省","山东省济宁市任城区古槐街道北门街社区党委书记、居委会主任－吕秀云－全国优秀城乡社区工作者"
"河南省","河南省鹤壁市淇滨区黎阳路街道佳和社区党支部书记、居委会主任－王玉超－全国优秀城乡社区工作者"
"河南省","河南省焦作市山阳区艺新街道“冬香好妈妈”工作站党支部书记－张冬香－全国三八红旗手"
"河南省","河南省洛阳市老城区建安门街道居民、洛阳雷锋车队队长，洛阳巡游网约车驾驶员－娄建党－全国劳动模范"
"河南省","河南省洛阳市孟津区城关镇调解员－李威武－全国模范人民调解员"
"河南省","河南省漯河市源汇区顺河街街道建设西路社区党委书记、居委会主任－梁三阁－全国优秀城乡社区工作者"
"河南省","河南省驻马店市正阳县寒冻镇司法调解员－吴佳－全国模范人民调解员"
"湖北省","湖北省荆州市监利市精华水稻种植专业合作社理事长－毕丽霞－全国三八红旗手"
"湖北省","湖北省荆州市荆州区城南街道新风社区居委会委员、治调主任－李孝明－全国民族团结进步模范个人"
"湖北省","湖北省荆州市荆州区郢城镇凤鸣社区党委书记、居委会主任－郭兵－全国抗击新冠肺炎疫情先进个人"
