province,trueName
北京市,北京市丰台区丰台街道永善新时代劝导队－全国三八红旗集体
安徽省,安徽省淮北市相山区西街道安康社区-全国文明单位、全国综合减灾示范社区、全国和谐社区建设示范社区
浙江省,杭州市西湖区翠苑街道翠苑一区社区-全国先进基层党组织、全国和谐社区建设示范社区
浙江省,浙江省杭州市拱墅区长庆街道王马社区－全国先进基层党组织
浙江省,浙江省宁波市海曙区白云街道安丰社区－全国示范性老年友好型社区
浙江省,浙江省宁波市海曙区段塘街道华兴社区－全国和谐社区建设示范社区
浙江省,浙江省宁波市海曙区段塘街道南都社区－全国综合减灾示范社区
浙江省,浙江省宁波市海曙区天一商圈商业社区服务中心－全国先进基层党组织
浙江省,浙江省宁波市海曙区西门街道北郊社区－全国社区侨务工作示范单位
浙江省,浙江省宁波市海曙区月湖街道迎凤社区－全国先进基层群众性自治组织
浙江省,浙江省宁波市余姚市凤山街道季卫桥社区－全国和谐社区建设示范社区、全国科普示范社区、全国综合减灾示范社区、全国民族团结进步示范社区
浙江省,浙江省宁波市余姚市凤山街道酱园街社区－全国综合减灾示范社区
浙江省,浙江省宁波市余姚市阳明街道新城市社区－全国文明单位
浙江省,浙江省绍兴市越城区北海街道西湖社区－全国综合减灾示范社区
浙江省,浙江省杭州市上城区凯旋街道南肖埠社区－全国先进基层群众性自治组织
浙江省,浙江省绍兴市越城区北海街道信达社区－全国综合减灾示范社区
浙江省,浙江省绍兴市诸暨市浣东街道东盛社区－全国先进基层群众性自治组织
浙江省,浙江省台州市临海市古城街道鹿城社区－全国先进基层群众性自治组织
浙江省,浙江省台州市温岭市太平街道锦园社区－全国抗击新冠肺炎疫情先进集体、全国先进基层党组织
浙江省,浙江省舟山市嵊泗县东海社区－全国民主法治示范村（社区）
浙江省,浙江省衢州市法律援助中心－全国三八红旗集体
浙江省,浙江省杭州市上城区小营街道小营巷社区－全国先进基层党组织
浙江省,浙江省湖州吴兴区平安大姐社会工作室－全国三八红旗集体
浙江省,浙江省嘉兴市秀洲区孝慈社会工作服务中心－全国先进社会组织
浙江省,浙江省嘉兴市秀洲区新塍镇虹桥社区－全国红十字模范单位、全国示范性老年友好型社区
浙江省,浙江省丽水市遂昌县求和人民调解委员会 “平安遂昌花” 娟姐工作室－全国三八红旗集体
浙江省,浙江省丽水市云和县老李帮忙团服务中心党支部－全国先进基层党组织
浙江省,浙江省宁波市北仑区大碶街道灵峰工业社区－全国抗击新冠肺炎疫情先进集体
福建省,福建省三明市三元区富兴堡街道富文社区－全国模范人民调解委员会
福建省,福建省厦门市禾山街道禾山社区－全国社会工作服务示范社区、全国示范性老年友好型社区
福建省,福建省厦门市同安区祥平街道芸溪社区－全国示范性老年友好型社区
福建省,福建省福州市鼓楼区东街街道军门社区－全国民主法治示范村（社区）、全国三八红旗集体
江西省,江西省南昌市东湖区彭家桥街道光明社区－全国先进基层党组织、全国民主法治示范村（社区）、全国示范性老年友好型社区、全国综合减灾示范社区
江西省,江西省抚州市临川区西大街街道西大街社区－全国示范性老年友好型社区
江西省,江西省吉安市青原区值夏镇值夏社区－全国民主法治示范村（社区）
江西省,江西省吉安市青原区值夏镇值夏社区人民调解委员会白保忠调解工作室－全国模范人民调解委员会
江西省,江西省九江市浔阳区甘棠街道龙山社区－全国示范性老年友好型社区
江西省,江西省南昌市西湖区铁路二村社区－全国先进基层群众性自治组织
江西省,江西省上饶市广信区旭日街道金桥社区－全国先进基层群众性自治组织
江西省,江西省宜春市瑞州街道凤凰社区－全国和谐社区建设示范社区
山东省,山东省日照市莒县大湖社区－全国民主法治示范村（社区）
山东省,山东省济宁市任城区越河街道竹竿巷社区－全国先进基层党组织
山东省,山东省东营市东营区胜利街道中山社区－全国先进基层党组织
山东省,山东省烟台市芝罘区毓璜顶街道大海阳社区－全国先进基层群众性自治组织
山东省,山东省烟台市芝罘区只楚街道楚林社区－全国民主法治示范村（社区）
山东省,山东省日照市东港区石臼街道津海社区－全国先进基层群众性自治组织
山东省,山东省淄博市临淄区稷下街道淄江社区－全国先进基层群众性自治组织
河南省,河南省鹤壁市淇滨区黎阳路街道福源社区－全国先进基层党组织
河南省,河南省焦作市山阳区艺新街道冬香好妈妈工作站党支部－全国先进基层党组织－全国三八红旗集体
河南省,河南省洛阳市涧西区天津路街道电厂新村社区－全国抗击新冠肺炎疫情先进集体
河南省,河南省洛阳市涧西区重庆路街道二社区－全国先进基层党组织
河南省,河南省漯河市天桥街道滨河路社区－全国民主法治示范村（社区）
河南省,河南省漯河市召陵区天桥街道漓江路社区－全国科普示范社区、全国和谐社区建设示范社区、全国综合减灾示范社区
湖北省,湖北省鄂州市鄂城区凤凰街道南塔社区-全国民族团结进步模范集体、全国示范性老年友好型社区
湖北省,湖北省黄冈市黄州区赤壁街道三清社区-全国示范性老年友好型社区
湖北省,湖北省黄冈市武穴市花桥镇花桥社区-全国示范性老年友好型社区
湖北省,湖北省黄冈市武穴市田家镇街道郭冲社区-全国示范性老年友好型社区
湖北省,湖北省黄冈市浠水县清泉镇十月社区-全国科普示范社区
湖北省,湖北省黄石市黄石港区凤凰山社区-全国综合减灾示范社区、全国示范性老年友好型社区、全国和谐社区建设示范社区
湖北省,湖北省荆州市公安县斗湖堤镇杨公堤社区-全国示范性老年友好型社区
湖北省,湖北省荆州市荆州区城南街道办事处人民调解委员会-全国模范人民调解委员会
湖北省,湖北省荆州市沙市区朝阳街道朝阳街办肉联路社区－全国综合减灾示范社区
湖北省,湖北省荆州市沙市区朝阳街道跃进路社区-全国示范性老年友好型社区
湖北省,湖北省荆州市沙市区崇文街道凤台社区-全国示范性老年友好型社区
湖北省,湖北省鄂州市鄂城区古楼街道官柳社区-全国示范性老年友好型社区
湖北省,湖北省荆州市沙市区解放街道白云桥社区-全国先进基层群众性自治组织
湖北省,湖北省荆州市沙市区解放街道九曲桥社区-全国综合减灾示范社区
湖北省,湖北省潜江市广华寺街道广北社区－全国示范性老年友好型社区
湖北省,湖北省潜江市园林街道红庙社区-全国和谐社区建设示范社区
湖北省,湖北省潜江市园林街道喻家台社区-全国科普示范社区、全国民主法治示范村（社区）
湖北省,湖北省十堰市郧阳区杨溪铺镇青龙泉社区-全国民主法治示范村（社区）
湖北省,湖北省随州市曾都区何店镇人民调解委员会-全国模范人民调解委员会
湖北省,湖北省随州市曾都区西城街道草店子社区-全国民主法治示范村（社区）
湖北省,湖北省随州市曾都区西城街道双龙寺社区-全国民族团结进步模范集体
湖北省,湖北省天门市天门经济开发区侯口街道友谊社区-全国民主法治示范村（社区）
湖北省,湖北省鄂州市鄂城区古楼街道花园社区-湖北省鄂州市鄂城区古楼街道花园社区
湖北省,湖北省武汉市洪山区洪山街道大华社区-全国示范性老年友好型社区
湖北省,湖北省武汉市洪山区珞南街道广八路社区-全国抗击新冠肺炎疫情先进集体
湖北省,湖北省武汉市洪山区珞南街道金桥社区-全国和谐社区建设示范社区、全国充分就业示范社区
湖北省,湖北省武汉市洪山区珞南街道丽岛花园社区-全国和谐社区建设示范社区、全国文明单位
湖北省,湖北省武汉市洪山区珞南街道珞桂社区-全国示范性老年友好型社区
湖北省,湖北省武汉市洪山区卓刀泉街鲁广社区-全国民族团结进步示范社区
湖北省,湖北省武汉市江汉区汉兴街道阳光社区-全国综合减灾示范社区
湖北省,湖北省武汉市江汉区满春街道长堤社区-全国示范性老年友好型社区
湖北省,湖北省武汉市江汉区新华街道新育社区-全国民主法治示范村（社区）
湖北省,湖北省武汉市硚口区古田街道古二社区-全国示范性老年友好型社区
湖北省,湖北省鄂州市鄂城区古楼街道镜园社区-全国综合减灾示范社区
湖北省,湖北省武汉市硚口区古田街道古南社区-全国示范性老年友好型社区
湖北省,湖北省武汉市硚口区汉水桥街道营北社区-全国和谐社区建设示范社区、全国综合减灾示范社区
湖北省,湖北省武汉市青山区工人村街道青和居社区-全国先进基层党组织、全国抗击新冠肺炎疫情先进集体、全国文明单位、全国民主法治示范村（社区）
湖北省,湖北省武汉市长江新区谌家矶街道天兴花园社区－全国综合减灾示范社区
湖北省,湖北省咸宁市赤壁市蒲圻街道华舟社区－全国示范性老年友好型社区
湖北省,湖北省咸宁市咸安区司法局向阳湖司法所-全国新时代“枫桥经验”先进典型
湖北省,湖北省孝感市汉川市仙女山街道福星社区-全国民主法治示范村（社区）
湖北省,湖北省孝感市孝南区广场街道文昌社区－全国退役军人工作模范单位
湖北省,湖北省孝感市孝南区书院街道西湖桥社区-全国示范性老年友好型社区
湖北省,湖北省孝感市云梦县吴铺镇杨店社区-全国民主法治示范村（社区）
湖北省,湖北省鄂州市鄂城区西山街道月畔湾社区-全国综合减灾示范社区
湖北省,湖北省宜昌市伍家岗区伍家岗街道江山社区-全国民族团结进步示范单位
湖北省,湖北省宜昌市伍家岗区伍家岗街道李家湖社区-全国文明单位
湖北省,湖北省宜昌市西陵区葛洲坝街道锦绣社区－全国先进基层群众性自治组织
湖北省,湖北省宜昌市猇亭区七里新村社区-全国和谐社区建设示范社区、全国民主法治示范村（社区）
湖北省,湖北省宜昌市宜都市陆城街道锦江社区-全国抗击新冠肺炎疫情先进集体
湖北省,湖北省恩施州利川市东城街道新桥社区-全国示范性老年友好型社区、全国综合减灾示范社区
湖北省,湖北省恩施州咸丰县联合人民调解委员会苏老武调解工作室-全国模范人民调解委员会
